,abstract,abstract-zh,authors,date,title,title-de,title-zh,url
0,"The C programming language has been foundational in building system-level software. However, its manual memory management model frequently leads to memory safety issues. In response, a modern system programming language, Rust, has emerged as a memory-safe alternative. Moreover, automating the C-to-Rust translation empowered by the rapid advancements of the generative capabilities of LLMs is gaining growing interest for large volumes of legacy C code. Despite some success, existing LLM-based approaches have constrained the role of LLMs to static prompt-response behavior and have not explored their agentic problem-solving capability. Applying the LLM agentic capability for the C-to-Rust translation introduces distinct challenges, as this task differs from the traditional LLM agent applications, such as math or commonsense QA domains. First, the scarcity of parallel C-to-Rust datasets hinders the retrieval of suitable code translation exemplars for in-context learning. Second, unlike math or commonsense QA, the intermediate steps required for C-to-Rust are not well-defined. Third, it remains unclear how to organize and cascade these intermediate steps to construct a correct translation trajectory. To address these challenges in the C-to-Rust translation, we propose a novel intermediate step, the Virtual Fuzzing-based equivalence Test (VFT), and an agentic planning framework, the LLM-powered Agent for C-to-Rust code translation (LAC2R). The VFT guides LLMs to identify input arguments that induce divergent behaviors between an original C function and its Rust counterpart and to generate informative diagnoses to refine the unsafe Rust code. LAC2R uses the MCTS to systematically organize the LLM-induced intermediate steps for correct translation. We experimentally demonstrated that LAC2R effectively conducts C-to-Rust translation on large-scale, real-world benchmarks.","C编程语言是建立系统级软件的基础语言。然而,其人工内存管理模式经常导致记忆安全问题。作为回应,现代系统编程语言Rust(Rust)已成为一种耐记忆的替代方案。此外,由于LLM的基因化能力迅速提高,使得C-Rust翻译自动化起来。尽管取得了一些成功,但基于LLMst的现有方法限制了LLM(LLM)的作用,使其成了静态的快速反应行为,而没有探索其中间解决问题的能力。在C-Rst翻译中应用LLM(LM)代理能力,带来了不同的挑战,因为这一任务不同于传统的LLM代理应用程序,例如数学或普通QA域。首先,平行C-Rust数据集的缺乏,阻碍了适当的C(LM)代码翻译的检索。第二,与数学或普通QA(Commerical-R)的QA(C-RM),为C-RM(LM)的原始-RM(LM-R-RM)的解算法解算的中间步骤没有很好地界定。第三,它仍然不清楚如何组织和不断组织和升级的翻译。","HoHyun Sim, Hyeonjoong Cho, Yeonghyeon Go, Zhoulai Fu, Ali Shokri, Binoy Ravindran",2025-06-26T15:16:53Z,Large Language Model-Powered Agent for C to Rust Code Translation,Large Language Model-Powered Agent für C to Rust Code Übersetzung,C至Rust 代码翻译的大型语言示范授权代理,http://arxiv.org/abs/2505.15858v2
1,"Quantum computing has transformative computational power to make classically intractable computing feasible. As the algorithms that achieve practical quantum advantage are beyond manual tuning, quantum circuit optimization has become extremely important and integrated into today's quantum software stack. This paper focuses on a critical type of quantum circuit optimization -- phase-polynomial optimization. Phase polynomials represents a class of building-block circuits that appear frequently in quantum modular exponentials (the most time-consuming component in Shor's factoring algorithm), in quantum approximation optimization algorithms (QAOA), and in Hamiltonian simulations. Compared to prior work on phase polynomials, we focus more on the impact of phase polynomial synthesis in the context of whole-circuit optimization, from single-block phase polynomials to multiple block phase polynomials, from greedy equivalent sub-circuit replacement strategies to a systematic parity matrix optimization approach, and from hardware-oblivious logical circuit optimization to hardware-friendly logical circuit optimization. We also provide a utility of our phase polynomial optimization framework to generate hardware-friendly building blocks. Our experiments demonstrate improvements of up to 50%-with an average total gate reduction of 34.92%-and reductions in the CNOT gate count of up to 48.57%, averaging 28.53%, for logical circuits. Additionally, for physical circuits, we achieve up to 47.65% CNOT gate reduction with an average reduction of 25.47% across a representative set of important benchmarks.","量子计算具有变革性的计算能力, 使古老的棘手计算变得可行。 由于实现实际量子优势的算法超出了手工调整的范围, 量子电路优化已经变得极为重要, 并被纳入今天的量子软件堆。 本文侧重于量子电路优化的关键类型 -- -- 阶段- 分球优化。 阶段多元分子代表了一组建筑块电路, 其表现经常出现在量子模块指数( Shor的保理算法中最耗时的成分)、 量子近似优化算法(QAOAA) 和汉密尔顿模拟中。 与以前在多环形模型中的工作相比, 量子电路优化已经变得极其重要, 并被纳入今天的量子软件堆。 从单块电路优化到多个区段的聚相优化。 从贪婪的次电路替换策略到系统的平价矩阵优化, 从硬件模糊的逻辑电路流优化到硬件友好逻辑精度精度优化65 逻辑优化(QAAAAAAAAAAAA) 我们还利用了我们的阶段多式优化框架框架框架框架, 创建对硬件友好重要建筑块建筑块进行硬件友好分析。 我们实验在5057%的大门中, 将平均削减了50% 将平均削减, 削减到平均削减了25%的门, , 削减, 将达到平均削减了25%","Zihan Chen, Henry Chen, Yuwei Jin, Minghao Guo, Enhyeok Jang, Jiakang Li, Caitlin Chan, Won Woo Ro, Eddy Z. Zhang",2025-06-25T17:13:16Z,PhasePoly: An Optimization Framework forPhase Polynomials in Quantum   Circuits,PhasePoly: Ein Optimierungsrahmen fürphasige Polynome in Quantenkreisläufen,阶段性:量子电路阶段多元性优化框架,http://arxiv.org/abs/2506.20624v1
2,"We consider the problem of statically ensuring that message-passing programs never run into deadlocks. We focus on concurrent functional programs governed by context-free session types, which can express rich tree-like structures not expressible in standard session types. Existing techniques based on context-free session types enforce protocol conformance but not deadlock freedom. We propose a type system that enhances context-free session types with a priority-based approach to deadlock freedom, considering polymorphic and recursive types. Interestingly, the notions needed for avoiding deadlocks fit nicely into this expressive setting. We prove that well-typed programs respect their protocols and never run into deadlocks at run-time; we also demonstrate the expressiveness gains with respect to prior work by means of examples.","我们考虑了静态地确保信息传递程序永远不会陷入僵局的问题。我们侧重于由无背景会议类型管理的并行功能方案,这些方案可以表达在标准会议类型中无法体现的丰富树型结构。基于无背景会议类型的现有技术可以强制执行协议的合规性,而不是陷入僵局自由。我们提出了一个类型的系统,用基于优先事项的方法加强无背景会议类型,解决僵局自由,考虑到多种变化和循环类型。有趣的是,避免僵局所需的概念适合这种表达式环境。我们证明,完善型方案尊重其协议,在运行时从未陷入僵局;我们还以实例的方式展示了先前工作在明确性方面的成果。","Andreia Mordido, Jorge A. Pérez",2025-06-25T12:11:47Z,Deadlock-free Context-free Session Types,Deadlock-freie Kontext-freie Sitzungstypen,无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无,http://arxiv.org/abs/2506.20356v1
3,"Albeit being a central notion of every programming language, formally and modularly reasoning about iteration proves itself to be a non-trivial feat, specially in the context of higher-order iteration. In this paper, we present a generic approach to the specification and deductive verification of higher-order iterators, written in the OCaml language. Our methodology follows two key principles: first, the usage of the Gospel specification language to describe the general behaviour of any iteration schema; second, the usage of the Cameleer framework to deductively verify that every iteration client is correct with respect to its logical specification. To validate our approach we develop a set of verified case studies, ranging from classic list iterators to graph algorithms implemented in the widely used OCamlGraph library.","尽管这是每种编程语言的中心概念,但关于迭代的正规和模块化推理本身证明是一种非三重性表演,特别是在较高顺序迭代的背景下。我们在本文件中提出了对以OCaml语言书写的较高顺序迭代器的规格和推算核查的通用方法。我们的方法遵循两个主要原则:第一,使用福音规格语言来描述任何迭代系统的一般行为;第二,使用卡默勒框架来推断每个迭代客户在逻辑规格方面是否正确。为了验证我们的方法,我们开发了一套经过核实的案例研究,从经典列表迭代器到在广泛使用的OCamlGraph图书馆中实施的图表算法。","Ion Chirica, Mário Pereira",2025-06-25T10:48:38Z,"Unfolding Iterators: Specification and Verification of Higher-Order   Iterators, in OCaml","Entfaltungs-Iteratoren: Spezifikation und Überprüfung von höher angeordneten Iteratoren, in OCaml",卸载迭代器: OCaml 中高分迭代器的规格和核查,http://arxiv.org/abs/2506.20310v1
4,"Happens before-based dynamic analysis is the go-to technique for detecting data races in large scale software projects due to the absence of false positive reports. However, such analyses are expensive since they employ expensive vector clock updates at each event, rendering them usable only for in-house testing. In this paper, we present a sampling-based, randomized race detector that processes only constantly many events of the input trace even in the worst case. This is the first sub-linear time (i.e., running in o(n) time where n is the length of the trace) dynamic race detection algorithm; previous sampling based approaches like Pacer run in linear time (i.e., O(n)). Our algorithm is a property tester for HB-race detection -- it is sound in that it never reports any false positive, and on traces that are far, with respect to hamming distance, from any race-free trace, the algorithm detects an HB-race with high probability. Our experimental evaluation of the algorithm and its comparison with state-of-the-art deterministic and sampling based race detectors shows that the algorithm does indeed have significantly low running time, and detects races quite often.","之前发生的动态分析是发现大型软件项目数据竞赛的技术,因为没有虚假的正面报告。然而,这种分析费用昂贵,因为每次活动都采用昂贵的矢量时钟更新,只能用于内部测试。在本文中,我们提出了一个基于抽样的随机随机的种族探测器,该探测器即使在最坏的情况下也只能不断地处理许多输入痕量的事件。这是第一个次线性时间(即运行时间在o(n)时间里,是追踪时间的长度)动态种族探测算法;以前的基于取样的方法,如Pacer在线性时间(即O(n)时间运行)。我们的算法是一个用于HB-色谱检测的财产测试器,它从不报告任何虚假的正数,在距离方面,从任何无种族的踪迹来看,算法从任何无种族的踪迹中,探测出一个HB-种族的高度概率。我们对算法的实验性评估及其与州-艺术确定性和基于抽样的种族探测器的比较表明,算法确实非常低的时间和种族的测算法。","Mosaad Al Thokair, Minjian Zhang, Umang Mathur, Mahesh Viswanathan",2025-06-25T04:46:35Z,Dynamic Race Detection With O(1) Samples,Dynamische Race-Erkennung mit O(1)-Proben,有O(1)样本的动态竞赛探测样本,http://arxiv.org/abs/2506.20127v1
5,"Recent advances in Large Language Models (LLMs) have demonstrated strong potential in code generation, yet their effectiveness in quantum computing remains underexplored. This paper benchmarks LLMs for PennyLane-based quantum code generation using real-world challenges from the Quantum Hackathon (QHack). We introduce QHackBench, a novel benchmark dataset derived from QHack competitions, and evaluate model performance under vanilla prompting and Retrieval-Augmented Generation (RAG). Our structured evaluation framework assesses functional correctness, syntactic validity, and execution success across varying challenge difficulties. Results indicate that RAG-enhanced models, supplemented with an augmented PennyLane dataset, approximately generate similar results as the standard prompting, particularly in complex quantum algorithms. Additionally, we introduce a multi-agent evaluation pipeline that iteratively refines incorrect solutions, further enhancing execution success rates. To foster further research, we commit to publicly releasing QHackBench, along with our evaluation framework and experimental results, enabling continued advancements in AI-assisted quantum programming.","大语言模型(LLMS)最近的进展表明,在代码生成方面有巨大的潜力,但其量子计算方面的效力仍未得到充分探讨。本文基准了利用Qantum Hackathon(QHack)(Quantum Hackathon)(Qantum Hackathon)(QHackbench)(QHackBench)(QHackBench)(QHackBench)(QHack Bench)(QHackBench)(QHackBench)(QHack Bench)(QHackBench)(QHackBench)(QHackBench)(QHack Bench)(QHack Bench)(QHack Bench)(LLLLLM)(LLLM)(LLLLLM)(LLLM)(LLLLLM)(LM)(LM)(LLLLLLM)(LLM)(LLLLM)(LM)(LLLLLM)(LLLM)(LM)(LM)(LLLLM)(LLLLM)(LLM(LM)(LM)(DM)(LLLLLM)(DM)(LM)(DM)(DM)(LLM)(LLLLLM)(LLLLLLLLLM)(LLLLM)(LLLLLLLM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LLLLLLLLLM)(LM)(LM)(LM)(LM)(LM)(LLLM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)(LM)","Abdul Basit, Minghao Shao, Haider Asif, Nouhaila Innan, Muhammad Kashif, Alberto Marchisio, Muhammad Shafique",2025-06-24T20:54:56Z,QHackBench: Benchmarking Large Language Models for Quantum Code   Generation Using PennyLane Hackathon Challenges,QHackBench: Benchmarking großer Sprachmodelle für die Quantencode-Generation mit PennyLane Hackathon-Herausforderungen,QHackBench:利用PennyLane Hackathon挑战为量制代码生成量设定大语言模式基准,http://arxiv.org/abs/2506.20008v1
6,"We investigate categories in which products distribute over coproducts, a structure we call doubly-infinitary distributive categories. Through a range of examples, we explore how this notion relates to established concepts such as extensivity, infinitary distributivity, and cartesian closedness. We show that doubly-infinitary distributivity strictly strengthens the classical notion of infinitary distributivity. Moreover, we prove that free doubly-infinitary distributive categories are cartesian closed, unlike free distributive categories. The paper concludes with observations on non-canonical isomorphisms, alongside open questions and directions for future research.","我们调查了产品在共同产品上分配的类别,我们称之为双重至无穷分配的类别。我们通过一系列实例探索了这一概念与诸如扩展、无穷分配和碳水化合物封闭等既定概念的关系。我们表明,双重至无穷分配严格地强化了无穷分配的经典概念。此外,我们证明,免费的双重至无穷分配的类别是封闭的,不同于免费分配的类别。文件最后提出了关于非卡尼氏异形态的观察意见,并提出了供未来研究的开放问题和方向。","Fernando Lucatelli Nunes, Matthijs Vákár",2025-06-24T18:28:52Z,Free Doubly-Infinitary Distributive Categories are Cartesian Closed,Kostenlose Doppel-Unendliche Verteilung Kategorien sind kartesisch geschlossen,免费Doubly-Infinite分配类别为笛卡尔人封闭类别,http://arxiv.org/abs/2403.10447v6
7,"Recent advances in the verification of deep neural networks (DNNs) have opened the way for a broader usage of DNN verification technology in many application areas, including safety-critical ones. However, DNN verifiers are themselves complex programs that have been shown to be susceptible to errors and numerical imprecision; this, in turn, has raised the question of trust in DNN verifiers. One prominent attempt to address this issue is enhancing DNN verifiers with the capability of producing certificates of their results that are subject to independent algorithmic checking. While formulations of Marabou certificate checking already exist on top of the state-of-the-art DNN verifier Marabou, they are implemented in C++, and that code itself raises the question of trust (e.g., in the precision of floating point calculations or guarantees for implementation soundness). Here, we present an alternative implementation of the Marabou certificate checking in Imandra -- an industrial functional programming language and an interactive theorem prover (ITP) -- that allows us to obtain full proof of certificate correctness. The significance of the result is two-fold. Firstly, it gives stronger independent guarantees for Marabou proofs. Secondly, it opens the way for the wider adoption of DNN verifiers in interactive theorem proving in the same way as many ITPs already incorporate SMT solvers.","最近对深神经网络(DNN)的核查进展为在许多应用领域更广泛地使用DNN核查技术开辟了道路,包括安全临界领域。然而,DNN核查员本身是复杂的程序,已经证明容易出错和数字不精确;这反过来又提出了对DNN核查员的信任问题。解决这一问题的一个显著尝试是提高DNN核查员的能力,使其能够产生其结果的证书,并接受独立算法检查。虽然马拉布证书检查的配方已经存在于最先进的DNNN核查员Marabou之上,但在C+++执行,而且该编码本身也提出了信任问题(例如,浮动点计算精确性或保证执行的正确性)。在这里,我们提出了在Imandra(一种工业功能性编程语言和交互式标本证明(ITP))中进行马拉布证书检查的另一种备选做法,使我们能够获得证书正确性的充分证明。结果在C+++中具有双重意义,而该结果本身也提出了信任问题(例如,在浮动点计算或保证执行的精确性保证方面)在Imandregrom 中为许多互动证据打开。","Remi Desmartin, Omri Isac, Grant Passmore, Ekaterina Komendantskaya, Kathrin Stark, Guy Katz",2025-06-24T15:45:04Z,A Certified Proof Checker for Deep Neural Network Verification in   Imandra,Ein Certified Proof Checker für Deep Neural Network Verification in Imandra,Imandra 深神经网络核查认证校验器,http://arxiv.org/abs/2405.10611v2
8,"In this paper we focus on TinySol, a minimal calculus for Solidity smart contracts, introduced by Bartoletti et al. We start by rephrasing its syntax (to emphasise its object-oriented flavour) and give a new big-step operational semantics. We then use it to define two security properties, namely call integrity and noninterference. These two properties have some similarities in their definition, in that they both require that some part of a program is not influenced by the other part. However, we show that the two properties are actually incomparable. Nevertheless, we provide a type system for noninterference and show that well-typed programs satisfy call integrity as well; hence, programs that are accepted by our type system satisfy both properties. We finally discuss the practical usability of the type system and its limitations by means of some simple examples.","在本文中,我们关注的焦点是TinySol, 这是Bartoletti等人介绍的“团结”智能合同的一个微小微积分。 我们首先修改其语法(强调其面向对象的口味), 并给出一个新的大步操作语义。 然后我们用它来定义两个安全属性, 即“ 完整性” 和“ 不干涉” 。 这两种属性在定义上有一些相似之处, 因为它们都要求程序的某些部分不受另一部分的影响 。 然而, 我们表明这两个属性实际上是无法比较的。 然而, 我们提供了一个不干预类型系统, 并且显示, 类型精良的程序满足了要求的完整性; 因此, 我们类型系统所接受的程序既满足了两种属性。 我们最后通过一些简单的例子来讨论类型系统的实用性及其局限性。","Luca Aceto, Daniele Gorla, Stian Lybech",2025-06-24T13:10:41Z,A Sound Type System for Secure Currency Flow,Ein Sound Type System für sicheren Währungsfluss,安全货币流动的健全类型系统,http://arxiv.org/abs/2405.12976v2
9,"Nowadays, the main advances in computational power are due to parallelism. However, most parallel languages have been designed with a focus on processors and threads. This makes dealing with data and memory in programs hard, which distances the implementation from its original algorithm. We propose a new paradigm for parallel programming, the data-autonomous paradigm, where computation is performed by autonomous data elements. Programs in this paradigm are focused on making the data collaborate in a highly parallel fashion. We furthermore present AuDaLa, the first data autonomous programming language, and provide a full formalisation that includes a type system and operational semantics. Programming in AuDaLa is very natural, as illustrated by examples, albeit in a style very different from sequential and contemporary parallel programming. Additionally, it lends itself for the formal verification of parallel programs, which we demonstrate.","目前,计算能力的主要进步是平行的。然而,大多数平行语言的设计重点是处理器和线条。这使得处理程序的数据和记忆变得困难,使执行与原始算法相去甚远。我们提出了平行程序的新模式,即数据自主模式,即由自主数据元素进行计算。这个模式中的方案侧重于使数据以高度平行的方式协作。我们还介绍了第一种数据自主程序语言AuDaLa,这是第一个数据自主程序语言,并提供了一种包括类型系统和操作语义的全面正规化。AuDaLa的编程非常自然,例如实例所展示的,尽管其风格与顺序和当代平行程序非常不同。此外,它也有助于对平行程序进行正式核查,我们展示了这一点。","Tom T. P. Franken, Thomas Neele, Jan Friso Groote",2025-06-24T09:38:13Z,"The Autonomous Data Language -- Concepts, Design and Formal Verification","Die autonome Datensprache -- Konzepte, Design und formale Überprüfung",自主数据语言 -- -- 概念、设计和正式核查,http://arxiv.org/abs/2506.19457v1
