,abstract,abstract-zh,authors,date,title,title-de,title-zh,url
0,"<p>Article URL: <a href=""https://twitter.com/_ZachGriff/status/1945959030851035223"">https://twitter.com/_ZachGriff/status/1945959030851035223</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44612487"">https://news.ycombinator.com/item?id=44612487</a></p> <p>Points: 779</p> <p># Comments: 449</p>",https://twitter.com/achGriff/status/1945959030851035223>https://twitter.com/achGriff/status/1945959030851035223</a>,RebeccaTheDev,2025-07-19T04:02:57+00:00,Hyatt Hotels are using algorithmic Rest “smoking detectors”,Hyatt Hotels verwenden algorithmische Reste Rauchen Detektoren,Hyyatt旅馆正在使用算法休息“吸烟探测器”,https://twitter.com/_ZachGriff/status/1945959030851035223
1,"<p>Article URL: <a href=""https://www.pcgamer.com/software/platforms/valve-confirms-credit-card-companies-pressured-it-to-delist-certain-adult-games-from-steam/"">https://www.pcgamer.com/software/platforms/valve-confirms-credit-card-companies-pressured-it-to-delist-certain-adult-games-from-steam/</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44606184"">https://news.ycombinator.com/item?id=44606184</a></p> <p>Points: 855</p> <p># Comments: 838</p>","<a href=""https://www.pcgamer.com/ software/platforms/valve-confreds-credit-card-companys-pressured-it-to-delist-cure-adult-games-from-steam/""<https://www.pcgamer.com/software/platforms/valve-confreds-credit-pressured-to-delist-certain-adult-games-from-steam/ </a>",freedomben,2025-07-18T15:54:46+00:00,Valve confirms credit card companies pressured it to delist certain adult games,"Valve bestätigt Kreditkartenunternehmen unter Druck gesetzt, um bestimmte Spiele für Erwachsene zu delisten",Valve确认信用卡公司迫使它 将某些成人游戏除名,https://www.pcgamer.com/software/platforms/valve-confirms-credit-card-companies-pressured-it-to-delist-certain-adult-games-from-steam/
2,"<p>Article URL: <a href=""https://openai.com/index/introducing-chatgpt-agent/"">https://openai.com/index/introducing-chatgpt-agent/</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44595492"">https://news.ycombinator.com/item?id=44595492</a></p> <p>Points: 668</p> <p># Comments: 481</p>",<a href=>https://openai.com/index/iimporting-chatgpt-agent/>https://openai.com/index/iimporting-chatgpt-agent/ </a>,Topfi,2025-07-17T17:01:47+00:00,ChatGPT agent: bridging research and action,ChatGPT-Agent: Überbrückung von Forschung und Aktion,ChatGPT 代理物:架桥研究与行动,https://openai.com/index/introducing-chatgpt-agent/
3,"<p>Article URL: <a href=""https://mistral.ai/news/le-chat-dives-deep"">https://mistral.ai/news/le-chat-dives-deep</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44594156"">https://news.ycombinator.com/item?id=44594156</a></p> <p>Points: 642</p> <p># Comments: 143</p>",<a href=>https://mistral.ai/news/le-chat-dives-deep>>https://mistral.ai/news/le-chat-dives-deep </a>,pember,2025-07-17T15:00:18+00:00,"Mistral Releases Deep Research, Voice, Projects in Le Chat","Mistral veröffentlicht Deep Research, Voice, Projekte in Le Chat","深层研究、声音、 "" Le Chat "" 项目",https://mistral.ai/news/le-chat-dives-deep
4,"<p>Article URL: <a href=""https://ostechnix.com/linux-reaches-5-desktop-market-share-in-usa/"">https://ostechnix.com/linux-reaches-5-desktop-market-share-in-usa/</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44580682"">https://news.ycombinator.com/item?id=44580682</a></p> <p>Points: 966</p> <p># Comments: 599</p>",<a href=>https://ostechnix.com/linux-reaches-5-desktop-marld-share-in-usa/>https://ostechnix.com/linux-reaches-5-desktop-mark-share-in-usa/ </a>,marcodiego,2025-07-16T10:37:08+00:00,Linux Reaches 5% Desktop Market Share in USA,Linux erreicht 5 % Desktop-Marktanteil in USA,美国桌面市场份额占美国桌面市场份额的5%,https://ostechnix.com/linux-reaches-5-desktop-market-share-in-usa/
5,"<p>Article URL: <a href=""https://prm.ua/en/ukrainian-hackers-destroyed-the-it-infrastructure-of-a-russian-drone-manufacturer-what-is-known/"">https://prm.ua/en/ukrainian-hackers-destroyed-the-it-infrastructure-of-a-russian-drone-manufacturer-what-is-known/</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44579902"">https://news.ycombinator.com/item?id=44579902</a></p> <p>Points: 665</p> <p># Comments: 467</p>","<a href=""https://prm.ua/en/ukrainian-hackers-derks-drevared-the-it-infor基础设施-a-russian-drune-drune-manuacturer-what-is-nown/""<https://prm.ua/en/ukrainian-hackers-destroveed-it-infor基础设施-of-a-russ-russ-dronne-manfacturer-what-is-nown-nown-wide-a-a/a>",doener,2025-07-16T08:18:34+00:00,Ukrainian hackers destroyed the IT infrastructure of Russian drone manufacturer,Ukrainische Hacker zerstörten die IT-Infrastruktur des russischen Drohnenherstellers,乌克兰黑客摧毁了俄罗斯无人机制造商的信息技术基础设施,https://prm.ua/en/ukrainian-hackers-destroyed-the-it-infrastructure-of-a-russian-drone-manufacturer-what-is-known/
6,"<p>Article URL: <a href=""https://calv.info/openai-reflections"">https://calv.info/openai-reflections</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44573195"">https://news.ycombinator.com/item?id=44573195</a></p> <p>Points: 739</p> <p># Comments: 416</p>",<a href=>https://calv.info/openai- refections>>https://calv.info/openai- refections </a>,calvinfo,2025-07-15T16:49:06+00:00,Reflections on OpenAI,Reflexionen über OpenAI,关于开放国际协会的反思,https://calv.info/openai-reflections
7,"<p>Article URL: <a href=""https://tomrenner.com/posts/llm-inevitabilism/"">https://tomrenner.com/posts/llm-inevitabilism/</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44567857"">https://news.ycombinator.com/item?id=44567857</a></p> <p>Points: 1722</p> <p># Comments: 1616</p>","<a href=""https://tomrenner.com/posts/llm-inevitabilitys/""<https://tomrenner.com/posts/llm-inevitabilitys/ </a>",SwoopsFromAbove,2025-07-15T04:35:35+00:00,LLM Inevitabilism,LLM Inevitabilitismus,LLM 不稳定性,https://tomrenner.com/posts/llm-inevitabilism/
8,"<p>Article URL: <a href=""https://kiro.dev/blog/introducing-kiro/"">https://kiro.dev/blog/introducing-kiro/</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44560662"">https://news.ycombinator.com/item?id=44560662</a></p> <p>Points: 1047</p> <p># Comments: 458</p>","<a href=""https://kiro.dev/blog/iimporting-kiro/"" >https://kiro.dev/blog/iimporting-kiro/ </a>",QuinnyPig,2025-07-14T14:24:40+00:00,Kiro: A new agentic IDE,Kiro: Eine neue agentische IDE,基罗:一种新的毒性 IDE,https://kiro.dev/blog/introducing-kiro/
9,"<p>Article URL: <a href=""https://discourse.mozilla.org/t/let-me-pay-for-firefox/141297"">https://discourse.mozilla.org/t/let-me-pay-for-firefox/141297</a></p> <p>Comments URL: <a href=""https://news.ycombinator.com/item?id=44548610"">https://news.ycombinator.com/item?id=44548610</a></p> <p>Points: 813</p> <p># Comments: 617</p>",<a href=>https://discourse.mozilla.org/t/let-me-pay-fay-firefox/141297>>https://discle.mozilla.org/t/let-me-pay-fay-firefox/141297 </a>,csmantle,2025-07-13T08:38:52+00:00,Let me pay for Firefox,Lassen Sie mich für Firefox bezahlen,"让我来付火狐,我付火狐",https://discourse.mozilla.org/t/let-me-pay-for-firefox/141297
