,abstract,abstract-zh,authors,date,title,title-de,title-zh,url
0,"Diffusion bridges are a promising class of deep-learning methods for sampling from unnormalized distributions. Recent works show that the Log Variance (LV) loss consistently outperforms the reverse Kullback-Leibler (rKL) loss when using the reparametrization trick to compute rKL-gradients. While the on-policy LV loss yields identical gradients to the rKL loss when combined with the log-derivative trick for diffusion samplers with non-learnable forward processes, this equivalence does not hold for diffusion bridges or when diffusion coefficients are learned. Based on this insight we argue that for diffusion bridges the LV loss does not represent an optimization objective that can be motivated like the rKL loss via the data processing inequality. Our analysis shows that employing the rKL loss with the log-derivative trick (rKL-LD) does not only avoid these conceptual problems but also consistently outperforms the LV loss. Experimental results with different types of diffusion bridges on challenging benchmarks show that samplers trained with the rKL-LD loss achieve better performance. From a practical perspective we find that rKL-LD requires significantly less hyperparameter optimization and yields more stable training behavior.","扩散桥是一个很有希望的深层学习方法类别,从非正常分布分布中取样。最近的工程显示,日志差异(LV)损失在使用重新校正技巧计算 rKL 梯度时,始终优于反向 Kullback- Leiber (rKL) 损失。虽然在政策上LV 损失产生与 RKL 损失相同的梯度,如果与逻辑衍生技巧(rKL-LD)相结合,不仅避免了这些概念问题,而且始终超越了LV 损失。在具有挑战性的基准上,不同种类的传播桥梁的实验结果显示,通过 RKLL-LD损失培训的采样者要达到更高的性能。从实际角度看,我们发现使用RKLLL损失的优化不是最强的,而是更稳定地进行高的优化。","Sebastian Sanokowski, Lukas Gruber, Christoph Bartmann, Sepp Hochreiter, Sebastian Lehner",2025-06-12T17:59:58Z,Rethinking Losses for Diffusion Bridge Samplers,Rückdenken von Verlusten für Diffusionsbrücken-Probenehmer,重新思考扩散桥采样器的损失,http://arxiv.org/abs/2506.10982v1
1,"Recent guidance methods in diffusion models steer reverse sampling by perturbing the model to construct an implicit weak model and guide generation away from it. Among these approaches, attention perturbation has demonstrated strong empirical performance in unconditional scenarios where classifier-free guidance is not applicable. However, existing attention perturbation methods lack principled approaches for determining where perturbations should be applied, particularly in Diffusion Transformer (DiT) architectures where quality-relevant computations are distributed across layers. In this paper, we investigate the granularity of attention perturbations, ranging from the layer level down to individual attention heads, and discover that specific heads govern distinct visual concepts such as structure, style, and texture quality. Building on this insight, we propose ""HeadHunter"", a systematic framework for iteratively selecting attention heads that align with user-centric objectives, enabling fine-grained control over generation quality and visual attributes. In addition, we introduce SoftPAG, which linearly interpolates each selected head's attention map toward an identity matrix, providing a continuous knob to tune perturbation strength and suppress artifacts. Our approach not only mitigates the oversmoothing issues of existing layer-level perturbation but also enables targeted manipulation of specific visual styles through compositional head selection. We validate our method on modern large-scale DiT-based text-to-image models including Stable Diffusion 3 and FLUX.1, demonstrating superior performance in both general quality enhancement and style-specific guidance. Our work provides the first head-level analysis of attention perturbation in diffusion models, uncovering interpretable specialization within attention layers and enabling practical design of effective perturbation strategies.","传播模型的最近指导方法通过扰动模型来引导反向取样,以构建一个隐含的薄弱模型并引导其生成。在这些方法中,人们的注意力扰动在无条件的假设情景中表现出了很强的经验性表现,这些假设情景中不适用无分类指导。然而,现有的注意力扰动方法缺乏确定应在何处应用扰动的系统化框架,特别是在与质量相关的计算分布在多个层次的Difult 变异器(DiT)结构中。在本文中,我们调查了从层到个人关注头的注意力扰动颗粒性变化,发现具体的头部在结构、风格和质质质质量质量质量等不同的视觉概念上表现得非常强。基于这一洞察,我们建议“头动”是一个系统化框架,用于迭代地选择与用户中心目标一致的注意力头部结构,从而能够对生成质量和视觉属性进行细化控制。 此外,我们引入了SoftPAG, 将每个选定的头部关注度图以直线度为首,提供持续 knob 以调动的振动性流动性水平和压压动性结构型结构的深度结构。 我们的方法只能在视觉结构内部进行着的升级的深度上进行着的升级的升级,我们现有的视觉结构结构结构的升级,我们通过特定的调整,只能测测测测测测测测测测测测测测测测测测测测测测测测,我们现有的系统, 。","Donghoon Ahn, Jiwon Kang, Sanghyun Lee, Minjae Kim, Jaewon Min, Wooseok Jang, Saungwu Lee, Sayak Paul, Susung Hong, Seungryong Kim",2025-06-12T17:59:51Z,Fine-Grained Perturbation Guidance via Attention Head Selection,Feinkörnige Störungsführung über Aufmerksamkeitskopfauswahl,"通过 "" 关注负责人甄选 "" 指导",http://arxiv.org/abs/2506.10978v1
2,"Large Language Model (LLM) agents have shown great potential in addressing real-world data science problems. LLM-driven data science agents promise to automate the entire machine learning pipeline, yet their real-world effectiveness remains limited. Existing frameworks depend on rigid, pre-defined workflows and inflexible coding strategies; consequently, they excel only on relatively simple, classical problems and fail to capture the empirical expertise that human practitioners bring to complex, innovative tasks. In this work, we introduce AutoMind, an adaptive, knowledgeable LLM-agent framework that overcomes these deficiencies through three key advances: (1) a curated expert knowledge base that grounds the agent in domain expert knowledge, (2) an agentic knowledgeable tree search algorithm that strategically explores possible solutions, and (3) a self-adaptive coding strategy that dynamically tailors code generation to task complexity. Evaluations on two automated data science benchmarks demonstrate that AutoMind delivers superior performance versus state-of-the-art baselines. Additional analyses confirm favorable effectiveness, efficiency, and qualitative solution quality, highlighting AutoMind as an efficient and robust step toward fully automated data science.","大型语言模型(LLM)代理商在解决现实世界数据科学问题方面表现出了巨大的潜力。LLM驱动的数据科学代理商承诺使整个机器学习管道自动化,然而其真实世界的有效性仍然有限。现有框架依赖于僵硬、预先定义的工作流程和不灵活的编码战略;因此,它们仅擅长于相对简单、古老的问题,未能捕捉人类从业者带来复杂、创新任务的经验专长。在这项工作中,我们引入了AutoMind(AutoMind)(一个适应性、知识丰富的LLM(LM)代理商)框架,通过三项关键进步克服了这些缺陷:(1) 一种成熟的专家知识基础,使该代理商具有领域专家知识;(2) 一种具有代理知识的树搜索算法,从战略上探索可能的解决方案;(3) 一种自我调整的编码战略,根据任务的复杂性动态地定制生成代码。对两个自动化数据科学基准的评估表明,AutoMind(AutoMind)能够提供优异的绩效、效率和质量解决方案质量,强调AutMind(Autmind)是迈向完全自动化数据科学的高效和稳健健捷的一步。","Yixin Ou, Yujie Luo, Jingsheng Zheng, Lanning Wei, Shuofei Qiao, Jintian Zhang, Da Zheng, Huajun Chen, Ningyu Zhang",2025-06-12T17:59:32Z,AutoMind: Adaptive Knowledgeable Agent for Automated Data Science,AutoMind: Adaptives Knowledgeable Agent für automatisierte Datenwissenschaft,自动Mind:自动数据科学适应性知识代理,http://arxiv.org/abs/2506.10974v1
3,"A wide range of scientific problems, such as those described by continuous-time dynamical systems and partial differential equations (PDEs), are naturally formulated on function spaces. While function spaces are typically infinite-dimensional, deep learning has predominantly advanced through applications in computer vision and natural language processing that focus on mappings between finite-dimensional spaces. Such fundamental disparities in the nature of the data have limited neural networks from achieving a comparable level of success in scientific applications as seen in other fields. Neural operators are a principled way to generalize neural networks to mappings between function spaces, offering a pathway to replicate deep learning's transformative impact on scientific problems. For instance, neural operators can learn solution operators for entire classes of PDEs, e.g., physical systems with different boundary conditions, coefficient functions, and geometries. A key factor in deep learning's success has been the careful engineering of neural architectures through extensive empirical testing. Translating these neural architectures into neural operators allows operator learning to enjoy these same empirical optimizations. However, prior neural operator architectures have often been introduced as standalone models, not directly derived as extensions of existing neural network architectures. In this paper, we identify and distill the key principles for constructing practical implementations of mappings between infinite-dimensional function spaces. Using these principles, we propose a recipe for converting several popular neural architectures into neural operators with minimal modifications. This paper aims to guide practitioners through this process and details the steps to make neural operators work in practice. Our code can be found at https://github.com/neuraloperator/NNs-to-NOs","功能空间一般是无限的,但深层次的学习主要通过计算机视觉和自然语言处理的应用,侧重于在有限空间之间绘制地图。这些数据性质上的根本差异限制了神经网络在科学应用方面取得与其它领域相似的成功水平。神经操作员是将神经网络推广到功能空间间绘图的一条原则性途径,为复制深层次学习对科学问题的影响提供了途径。例如,神经操作员可以学习整个类别PDE的解决方案操作员,例如,具有不同边界条件、系数功能和地理特征的物理系统。深层次学习的关键因素之一是通过广泛的实验测试对神经结构进行仔细的工程设计。将这些神经结构转换成神经操作员,使操作员能够学习这些在功能空间之间的实验性优化。然而,以前的神经操作员结构常常被引入为独立模型,而不是直接在构建现有神经网络结构的扩展中,通过这些核心结构的扩展,我们通过这些软质操作员和软质结构的扩展,我们找到了这些软质操作员的模型。","Julius Berner, Miguel Liu-Schiaffini, Jean Kossaifi, Valentin Duruisseaux, Boris Bonev, Kamyar Azizzadenesheli, Anima Anandkumar",2025-06-12T17:59:31Z,Principled Approaches for Extending Neural Architectures to Function   Spaces for Operator Learning,Prinzipierte Ansätze zur Erweiterung neuraler Architekturen auf Funktionsräume für das Bediener-Lernen,将神经结构扩展至功能空间以便操作员学习的原则办法,http://arxiv.org/abs/2506.10973v1
4,"Training Large Language Models (LLMs) is prohibitively expensive, creating a critical scaling gap where insights from small-scale experiments often fail to transfer to resource-intensive production systems, thereby hindering efficient innovation. To bridge this, we introduce Farseer, a novel and refined scaling law offering enhanced predictive accuracy across scales. By systematically constructing a model loss surface $L(N,D)$, Farseer achieves a significantly better fit to empirical data than prior laws (e.g., Chinchilla's law). Our methodology yields accurate, robust, and highly generalizable predictions, demonstrating excellent extrapolation capabilities, improving upon Chinchilla's law by reducing extrapolation error by 433\%. This allows for the reliable evaluation of competing training strategies across all $(N,D)$ settings, enabling conclusions from small-scale ablation studies to be confidently extrapolated to predict large-scale performance. Furthermore, Farseer provides new insights into optimal compute allocation, better reflecting the nuanced demands of modern LLM training. To validate our approach, we trained an extensive suite of approximately 1,000 LLMs across diverse scales and configurations, consuming roughly 3 million NVIDIA H100 GPU hours. We are comprehensively open-sourcing all models, data, results, and logs at https://github.com/Farseer-Scaling-Law/Farseer to foster further research.","培训大型语言模型(LLMS)的费用太高,令人望而却步,造成了一个关键的缩小差距,因为小规模实验的洞察力往往无法向资源密集型生产系统转移,从而阻碍有效的创新。为了弥补这一差距,我们引入了Farseer, 这是一项新颖和经过改进的缩略法, 提供了更高的全尺度预测准确度。通过系统地构建一个模型损失表面值$(N,D),Farseer比以往的法律(例如Chinchilla的法律)更符合经验数据。我们的方法得出了准确、有力和高度普遍化的预测,显示了极好的外推法能力,通过减少433的外推误改进了Chinchilla的法律。这样,我们就可以可靠地评估所有(N,D)环境中相互竞争的培训战略,提供更高的预测性预测性预测性能。此外,Farseer提供了对最佳的计算分配的新见解,更好地反映现代LMM培训的精细要求。为了验证我们的方法,我们培训了整个方法,在各种规模和配置上大约1 000 LLMS-LMS-IA全面研算。","Houyi Li, Wenzhen Zheng, Qiufeng Wang, Zhenyu Ding, Haoying Wang, Zili Wang, Shijie Xuyang, Ning Ding, Shuigeng Zhou, Xiangyu Zhang, Daxin Jiang",2025-06-12T17:59:23Z,Farseer: A Refined Scaling Law in Large Language Models,Farseer: Ein verfeinertes Skalierungsgesetz in großen Sprachmodellen,Farseer:大语言模式中经过完善的扩大法,http://arxiv.org/abs/2506.10972v1
5,"We study masked discrete diffusion models with classifier-free guidance (CFG). Assuming no score error nor discretization error, we derive an explicit solution to the guided reverse dynamics, so that how guidance influences the sampling behavior can be precisely characterized. When the full data distribution is a mixture over classes and the goal is to sample from a specific class, guidance amplifies class-specific regions while suppresses regions shared with other classes. This effect depends on the guidance strength $w$ and induces distinct covariance structures in the sampled distribution. Notably, we observe quantitatively different behaviors in $1$D and $2$D. We also show that for large $w$, the decay rate of the total variation ($\mathrm{TV}$) along the reverse dynamics is double-exponential in $w$ for both $1$D and $2$D. These findings highlight the role of guidance, not just in shaping the output distribution, but also in controlling the dynamics of the sampling trajectory. Our theoretical analysis is supported by experiments that illustrate the geometric effects of guidance and its impact on convergence.","假设没有分数错误或分解错误,我们就会为引导反向动态找到一个明确的解决方案,从而可以精确地描述指导如何影响抽样行为。当完整的数据分布是跨类混合的,目标是从特定类别中取样时,指导会扩大特定类别区域,同时压制与其他类别共享的区域。这种影响取决于指导强度,因为美元值取决于指导强度,并会在抽样分布中产生不同的共差结构。值得注意的是,我们观察到以1美元和2美元计算的量化不同行为。我们还表明,对于大美元而言,整个反向动态变化的衰减率($mathrm{TV}$)是双倍的,以1美元和2美元计算。这些结论突出了指导的作用,不仅在决定产出分布方面,而且在控制抽样分布的动态方面。我们的理论分析得到实验的支持,这些实验显示了指导的几何效果及其对趋同的影响。","He Ye, Rojas Kevin, Tao Molei",2025-06-12T17:59:19Z,What Exactly Does Guidance Do in Masked Discrete Diffusion Models,Was genau tut Anleitung in maskierten diskreten Diffusionsmodellen?,"在隐蔽的分辨扩散模型中,指导到底做什么?",http://arxiv.org/abs/2506.10971v1
6,"As the outputs of generative AI (GenAI) techniques improve in quality, it becomes increasingly challenging to distinguish them from human-created content. Watermarking schemes are a promising approach to address the problem of distinguishing between AI and human-generated content. These schemes embed hidden signals within AI-generated content to enable reliable detection. While watermarking is not a silver bullet for addressing all risks associated with GenAI, it can play a crucial role in enhancing AI safety and trustworthiness by combating misinformation and deception. This paper presents a comprehensive overview of watermarking techniques for GenAI, beginning with the need for watermarking from historical and regulatory perspectives. We formalize the definitions and desired properties of watermarking schemes and examine the key objectives and threat models for existing approaches. Practical evaluation strategies are also explored, providing insights into the development of robust watermarking techniques capable of resisting various attacks. Additionally, we review recent representative works, highlight open challenges, and discuss potential directions for this emerging field. By offering a thorough understanding of watermarking in GenAI, this work aims to guide researchers in advancing watermarking methods and applications, and support policymakers in addressing the broader implications of GenAI.","由于基因化的AI(GenAI)技术在质量上有所改进,因此将其与人类创造的内容区别开来已变得日益具有挑战性。水标记计划是解决区别AI和人类生成的内容问题的一个很有希望的方法。这些计划将隐藏的信号嵌入AI生成的内容中,以便能够进行可靠的检测。虽然水标记并不是解决与GenAI有关的所有风险的银弹,但它可以通过打击错误和欺骗行为,在提高AI的安全和可信度方面发挥关键作用。本文件全面概述了GenAI的水标记技术,从历史和监管角度出发,为GenAI提供一个水标记技术的全面概览。我们正式确定水标记计划的定义和预期特性,并审查现有方法的关键目标和威胁模式。我们还探讨了实际评估战略,为开发能够抵御各种袭击的稳健的水标记技术提供了深刻的见解。此外,我们审查最近的代表著作,突出公开的挑战,并讨论这一新兴领域的潜在方向。通过全面了解GenAI的水标记,这项工作旨在指导研究人员推进水标记方法和应用,并支持决策者解决GenAI的更广泛影响。","Xuandong Zhao, Sam Gunn, Miranda Christ, Jaiden Fairoze, Andres Fabrega, Nicholas Carlini, Sanjam Garg, Sanghyun Hong, Milad Nasr, Florian Tramer, Somesh Jha, Lei Li, Yu-Xiang Wang, Dawn Song",2025-06-12T17:58:20Z,SoK: Watermarking for AI-Generated Content,SoK: Wasserzeichen für KI-generierten Inhalt,SoK: 用于 AI 生成内容的水标志,http://arxiv.org/abs/2411.18479v3
7,"Autoregressive visual generation has garnered increasing attention due to its scalability and compatibility with other modalities compared with diffusion models. Most existing methods construct visual sequences as spatial patches for autoregressive generation. However, image patches are inherently parallel, contradicting the causal nature of autoregressive modeling. To address this, we propose a Spectral AutoRegressive (SpectralAR) visual generation framework, which realizes causality for visual sequences from the spectral perspective. Specifically, we first transform an image into ordered spectral tokens with Nested Spectral Tokenization, representing lower to higher frequency components. We then perform autoregressive generation in a coarse-to-fine manner with the sequences of spectral tokens. By considering different levels of detail in images, our SpectralAR achieves both sequence causality and token efficiency without bells and whistles. We conduct extensive experiments on ImageNet-1K for image reconstruction and autoregressive generation, and SpectralAR achieves 3.02 gFID with only 64 tokens and 310M parameters. Project page: https://huang-yh.github.io/spectralar/.","与扩散模型相比,自动递减的视觉生成由于其可变性和与其他模式的兼容性而日益引起注意。大多数现有方法将视觉序列构建为自动递减生成的空间补丁。然而,图像补丁本质上是平行的,与自动递减模型的因果关系性质相矛盾。为了解决这个问题,我们提议一个光谱自动递减生成框架,从光谱角度认识视觉序列的因果关系。具体地说,我们首先将图像转换成带有Nested Spectoral Tokenization(代表低频至高频组件)的定购光谱符号。然后,我们用光谱符号序列的相向偏移方式进行自动递增生成。通过考虑图像中不同的详细程度,我们的SpectrameralAR在没有钟和哨子的情况下实现序列因果关系和象征性效率。我们用图像Net-1K进行广泛的实验,用于图像重建和自动递增生成,而SpecturalAR只实现3.02 gFID,只有64个符号和3100M参数。项目页面: https://huang-ygio/slamgioalgioal.","Yuanhui Huang, Weiliang Chen, Wenzhao Zheng, Yueqi Duan, Jie Zhou, Jiwen Lu",2025-06-12T17:57:44Z,SpectralAR: Spectral Autoregressive Visual Generation,SpectralAR: Spectral Autoregressive Visual Generation,光谱AR:光谱自动递减视觉生成,http://arxiv.org/abs/2506.10962v1
8,"Large language models (LLMs) have been increasingly applied to automated harmful content detection tasks, assisting moderators in identifying policy violations and improving the overall efficiency and accuracy of content review. However, existing resources for harmful content detection are predominantly focused on English, with Chinese datasets remaining scarce and often limited in scope. We present a comprehensive, professionally annotated benchmark for Chinese content harm detection, which covers six representative categories and is constructed entirely from real-world data. Our annotation process further yields a knowledge rule base that provides explicit expert knowledge to assist LLMs in Chinese harmful content detection. In addition, we propose a knowledge-augmented baseline that integrates both human-annotated knowledge rules and implicit knowledge from large language models, enabling smaller models to achieve performance comparable to state-of-the-art LLMs. Code and data are available at https://github.com/zjunlp/ChineseHarm-bench.","大型语言模型(LLMS)已越来越多地用于自动识别有害内容的任务,协助主持人查明违反政策的情况,提高内容审查的总体效率和准确性;然而,用于检测有害内容的现有资源主要集中于英语,中国数据集仍然稀缺,而且范围往往有限;我们为中国内容伤害检测提供了一个全面、专业的附加说明的基准,该基准涵盖六个代表性类别,完全以现实世界数据为基础;我们的批注过程还产生了一个知识规则基础,该知识基础提供明确的专家知识知识,协助查找中国有害内容的LMS;此外,我们提出一个知识强化基线,将人附加说明的知识规则和大型语言模型的隐含知识结合起来,使较小的模型能够达到与最先进的LMS相近的性能;可在https://github.com/zjunp/中国Harm-bench查阅数据。","Kangwei Liu, Siyuan Cheng, Bozhong Tian, Xiaozhuan Liang, Yuyang Yin, Meng Han, Ningyu Zhang, Bryan Hooi, Xi Chen, Shumin Deng",2025-06-12T17:57:05Z,ChineseHarm-Bench: A Chinese Harmful Content Detection Benchmark,ChinesischHarm-Bench: Ein chinesischer schädlicher Content Detection Benchmark,中中汉禁区:中国有害内容检测基准,http://arxiv.org/abs/2506.10960v1
9,"While in-context learning (ICL) has achieved remarkable success in natural language and vision domains, its theoretical understanding--particularly in the context of structured geometric data--remains unexplored. In this work, we initiate a theoretical study of ICL for regression of H\""older functions on manifolds. By establishing a novel connection between the attention mechanism and classical kernel methods, we derive generalization error bounds in terms of the prompt length and the number of training tasks. When a sufficient number of training tasks are observed, transformers give rise to the minimax regression rate of H\""older functions on manifolds, which scales exponentially with the intrinsic dimension of the manifold, rather than the ambient space dimension. Our result also characterizes how the generalization error scales with the number of training tasks, shedding light on the complexity of transformers as in-context algorithm learners. Our findings provide foundational insights into the role of geometry in ICL and novels tools to study ICL of nonlinear models.","虽然在自然语言和视觉领域取得了显著的成功(ICL),但其理论理解 -- -- 特别是在结构化几何数据-剩余部分尚未探索的几何数据-领域。在这项工作中,我们开始对ICL进行理论研究,以在多元上回归H\'older函数。通过在关注机制和古典内核方法之间建立新的联系,我们从迅速的长度和培训任务的数量方面得出了概括性错误的界限。当观察到足够数量的训练任务时,变压器产生在多元体上的H\'older函数的微缩回归率,这些元体与多元体的内在维度相比,而不是环境空间层面是倍增的。我们的结果还说明了与培训任务数量相比的一般误差尺度,揭示了变压器作为同源算算算法学习者的复杂性。我们的调查结果为在ICL和研究非线性模型的ICL(ICL)的新工具中的几何作用提供了基本洞察力。","Zhaiming Shen, Alexander Hsu, Rongjie Lai, Wenjing Liao",2025-06-12T17:56:26Z,Understanding In-Context Learning on Structured Manifolds: Bridging   Attention to Kernel Methods,In-Context-Lernen über strukturierte Manifolds verstehen: Aufmerksamkeit auf Kernel-Methoden überbrücken,理解关于结构式操纵的内文学习:弥合对核心方法的注意,http://arxiv.org/abs/2506.10959v1
